question,optionA,optionB,optionC,optionD,correctAnswer
"¿Cuál es un ejemplo de amenaza que puede surgir en un proyecto?","Mejora inesperada en los procesos","Cambio de requisitos del cliente","Incremento del presupuesto","Duración del proyecto más corta","B"
"¿Qué herramienta es útil para evaluar el estado de los riesgos en un proyecto?","Matriz de riesgo","Pizarra blanca","Lista de verificación general","Diagrama de flujo","A"
"En el caso de Paco y Lola, ¿qué evento aumentó la exposición al riesgo del proyecto?","Aceptación rápida del cliente","Despedida del gerente del cliente","Incremento del presupuesto","Cambio en los sistemas operativos","B"
"Según la Guía PMBOK, ¿qué paso sigue después de identificar riesgos?","Planificar la respuesta","Realizar el análisis cualitativo","Controlar riesgos","Documentar resultados","B"
"¿Qué representa la categoría de riesgos residuales?","Riesgos nuevos no previstos","Riesgos que quedan tras implementar respuestas","Riesgos eliminados del proyecto","Riesgos que tienen impacto positivo","B"
"¿Qué se entiende por planificación de la gestión de riesgos?","Elaborar un cronograma para mitigar riesgos","Definir cómo se gestionarán los riesgos en el proyecto","Diseñar estrategias para evitar problemas","Asignar responsables a los eventos de riesgo","B"
"¿Qué método utiliza la fórmula ER (Exposición al Riesgo)?","Probabilidad + costo","Impacto dividido por duración","Probabilidad multiplicada por impacto","Costo estimado por duración","C"
"¿Cómo se denominan los riesgos con impacto positivo?","Problemas","Amenazas","Oportunidades","Desafíos","C"
"¿Qué representa una matriz de riesgos?","Un cronograma de actividades","Un diagrama de impacto financiero","Una herramienta para priorizar riesgos según probabilidad e impacto","Un reporte financiero del proyecto","C"
"¿Qué estándar propone directrices específicas para la evaluación de riesgos?","ISO 21500","ISO 31000","PMBOK","CMMI","B"
"¿Cuál es el principal objetivo del control de riesgos?","Eliminar riesgos residuales","Monitorear, identificar y gestionar riesgos en el proyecto","Crear planes de mitigación definitivos","Garantizar la finalización del proyecto","B"
"¿En qué consiste el análisis cualitativo de riesgos?","Asignar un valor monetario a los riesgos","Priorizar riesgos por probabilidad e impacto","Eliminar riesgos irrelevantes","Diseñar respuestas inmediatas","B"
"¿Qué paso sigue después de realizar el análisis cuantitativo de riesgos?","Documentar hallazgos","Planificar respuestas a los riesgos","Eliminar riesgos menores","Realizar pruebas piloto","B"
"¿Qué describe un riesgo residual?","Un riesgo completamente mitigado","Un riesgo que permanece tras implementar respuestas","Un evento inesperado positivo","Un impacto nulo en el proyecto","B"
"¿Qué enfoque incluye la norma ISO 31000?","Definir riesgos críticos únicamente","Fomentar estrategias generales para la gestión de riesgos","Eliminar la necesidad de análisis cualitativo","Clasificar los riesgos en cinco niveles","B"
"¿Qué ventaja ofrece el análisis cuantitativo de riesgos?","Facilita la eliminación de riesgos menores","Cuantifica el impacto numérico en los objetivos del proyecto","Asigna responsables a cada riesgo","Evita la necesidad de análisis cualitativo","B"
"¿Cómo se gestionan los riesgos emergentes según el control de riesgos?","Se documentan y evalúan continuamente","Se eliminan del registro principal","Se incluyen automáticamente en el plan de respuesta","Se delegan al cliente","A"
"¿Qué tipo de riesgos suelen ser monitoreados continuamente?","Riesgos residuales y nuevos","Riesgos eliminados","Riesgos con impacto positivo únicamente","Riesgos exclusivamente internos","A"
"¿Cuál es la relación entre probabilidad e impacto en la gestión de riesgos?","Determina el costo total del proyecto","Define el nivel de exposición al riesgo","Calcula el tiempo adicional necesario","Identifica oportunidades dentro del proyecto","B"
"¿Qué tipo de riesgo está relacionado con el presupuesto y los requisitos del proyecto?","Riesgos técnicos","Riesgos del proyecto","Riesgos empresariales","Riesgos conocidos","B"
"¿Qué factor NO pertenece a los riesgos técnicos?","Diseño","Implementación","Presupuesto","Mantenimiento","C"
"¿Qué riesgo empresarial incluye perder el apoyo de los administradores?","Riesgo de mercado","Riesgo estratégico","Riesgo administrativo","Riesgo presupuestal","C"
"¿Cómo se definen los riesgos conocidos?","Riesgos extremadamente raros","Riesgos identificables tras evaluar el plan del proyecto","Riesgos previsibles por experiencia pasada","Riesgos específicos de tecnología","B"
"¿Cuál de los siguientes es un ejemplo de riesgo predecible?","Fallo técnico inesperado","Rotación de personal","Cambios en el mercado","Obsolescencia tecnológica","B"
"¿Qué característica define a un riesgo genérico?","Es específico del proyecto","Amenaza cualquier proyecto de software","Depende de la experiencia del equipo","Está limitado a tecnologías nuevas","B"
"¿Qué subcategoría de riesgos se asocia con la sofisticación de los participantes?","Tamaño del producto","Impacto empresarial","Características de los participantes","Entorno de desarrollo","C"
"¿Qué subcategoría evalúa la calidad de las herramientas disponibles?","Definición del proceso","Entorno de desarrollo","Tamaño y experiencia del personal","Tecnología por construir","B"
"¿Qué categoría abarca los riesgos asociados con restricciones administrativas o del mercado?","Impacto empresarial","Tamaño del producto","Definición del proceso","Tecnología por construir","A"
"¿Qué tipo de riesgo es extremadamente difícil de identificar por adelantado?","Riesgos específicos del producto","Riesgos conocidos","Riesgos predecibles","Riesgos impredecibles","D"
"¿Qué pregunta clave ayuda a identificar riesgos específicos del producto?","¿Cómo podemos evitar problemas genéricos?","¿Qué características especiales amenazan el proyecto?","¿Qué tecnologías son compatibles con el proyecto?","¿Qué herramientas pueden mejorar el proceso?","B"
"¿Qué se requiere para estimar la exposición al riesgo?","Impacto del riesgo","Probabilidad y herramientas","Probabilidad e impacto","Costos totales","C"
"¿Qué subcategoría se relaciona con la complejidad del sistema a construir?","Tamaño del producto","Tecnología por construir","Entorno de desarrollo","Definición del proceso","B"
"¿Qué define los riesgos específicos del producto?","Amenazas generales para todos los proyectos","Amenazas únicas para un producto particular","Problemas relacionados con participantes externos","Problemas comunes a tecnologías estándar","B"
"¿Qué clasificación incluye la obsolescencia técnica como factor de riesgo?","Riesgos empresariales","Riesgos conocidos","Riesgos técnicos","Riesgos impredecibles","C"
"¿Qué clasificación abarca la falta de requisitos documentados?","Riesgos empresariales","Riesgos conocidos","Riesgos genéricos","Riesgos específicos del producto","B"
"¿Qué categoría evalúa la experiencia técnica y de proyecto del equipo?","Tamaño y experiencia del personal","Definición del proceso","Impacto empresarial","Entorno de desarrollo","A"
"¿Qué herramienta se menciona para identificar subconjuntos de riesgos?","Diagramas de flujo","Listas de verificación","Mapas de calor","Matrices de impacto","B"
"¿Qué representa el manifiesto ágil?","Una metodología rígida","Un conjunto de principios para mejorar el desarrollo de software","Un estándar internacional para la gestión de proyectos","Una herramienta para automatizar procesos","B"
"¿Cuál es uno de los valores fundamentales del manifiesto ágil?","Procesos sobre individuos","Herramientas sobre interacciones","Documentación extensiva sobre software funcionando","Colaboración con el cliente sobre negociación contractual","D"
"Según el manifiesto ágil, ¿qué se valora más que seguir un plan?","Evitar cambios","Documentar todo el proyecto","Responder al cambio","Tener un contrato fijo","C"
"¿Qué principio ágil promueve entregas frecuentes de software?","Entregas trimestrales","Entregas pequeñas y frecuentes","Entregas al final del proyecto","Entregas solo tras validación del cliente","B"
"¿Qué rol tiene el cliente en los enfoques ágiles?","Supervisa desde fuera","Es un miembro activo del equipo","Se limita a recibir informes","Firma contratos al inicio y al final","B"
"¿Qué se considera la medida principal de progreso en los enfoques ágiles?","Documentación generada","Revisión del cliente","Software funcionando","Cumplimiento del cronograma","C"
"¿Qué práctica se destaca en XP (Extreme Programming)?","Jerarquías claras","Programación en parejas","Procesos extensos","Documentación previa exhaustiva","B"
"¿Qué caracteriza a los equipos ágiles según el manifiesto ágil?","Estricta jerarquía","Autoorganización","Dependencia de herramientas","Control total del cliente","B"
"¿Qué práctica fomenta la simplicidad en los enfoques ágiles?","Eliminar todo el software previo","Minimizar el trabajo no realizado","Revisar toda la documentación generada","Reutilizar diseños antiguos","B"
"¿Cuál es el objetivo de las iteraciones en los enfoques ágiles?","Evitar entregas parciales","Adaptarse a cambios y obtener retroalimentación rápida","Documentar cada etapa","Definir requisitos finales","B"
"¿Qué enfoque ágil se centra en la eliminación de desperdicios?","Scrum","Lean","XP","PMBOK","B"
"¿Qué herramienta utiliza Lean para visualizar el flujo de trabajo?","Matriz de impacto","Kanban","Diagrama de Gantt","Mapa de calor","B"
"¿Qué principio de Lean promueve tomar decisiones lo más tarde posible?","Reducir costos","Evitar errores","Manejar la incertidumbre","Cumplir plazos","C"
"¿Qué describe mejor la retroalimentación en enfoques ágiles?","Es opcional","Es continua y se obtiene en cada iteración","Solo ocurre al final del proyecto","Depende de la documentación generada","B"
"¿Qué valor promueve el manifiesto ágil en cuanto a la interacción entre miembros del equipo?","Conversación cara a cara","Reuniones largas y formales","Intercambio exclusivo por email","Seguimiento semanal de actividades","A"
"¿Qué distingue a Scrum de otros enfoques ágiles?","Se centra solo en herramientas","Gestiona equipos y proyectos","Descarta iteraciones","Usa jerarquías estrictas","B"
"¿Qué principio fomenta XP para mejorar la calidad del código?","Evitar revisiones","Refactorización continua","Uso limitado de pruebas","Documentación previa extensa","B"
"¿Qué beneficio clave ofrece la gestión ágil?","Mayor flexibilidad y adaptabilidad","Menor interacción con el cliente","Mayor dependencia de herramientas","Evitar documentación innecesaria","A"
"¿Qué papel tiene el Scrum Master?","Definir los objetivos finales","Liderar el desarrollo técnico","Facilitar el trabajo del equipo y eliminar obstáculos","Controlar los resultados del cliente","C"
"¿Cuál es el principal valor detrás del software funcionando?","Evitar la generación de bugs","Obtener retroalimentación temprana y tangible","Reducir los costos de desarrollo","Cumplir con los estándares de calidad","B"
"¿Qué fomenta la conversación cara a cara en equipos ágiles?","Evitar malentendidos y promover decisiones rápidas","Generar más documentación","Sustituir reuniones formales","Reforzar jerarquías en el equipo","A"
"¿Qué es el waste en el enfoque Lean?","Recursos humanos subutilizados","Códigos y funcionalidades innecesarias","Fallas técnicas repetitivas","Procesos extensivos de documentación","B"
"¿Qué ventaja clave tiene la entrega temprana de software?","Acelera la aprobación de presupuestos","Genera más confianza en el equipo","Permite al cliente probar y validar frecuentemente","Simplifica la gestión de riesgos","C"
"¿Qué objetivo tiene la refactorización continua en XP?","Optimizar el código sin añadir funcionalidad","Reducir la cantidad de reuniones","Incrementar la velocidad del desarrollo","Eludir procesos de testing","A"
"¿Qué enfatiza la filosofía ágil sobre la burocracia?","Promover un equilibrio entre documentación y acción","Eliminación total de procesos","Fomentar la flexibilidad en la burocracia","Implementar herramientas más ágiles","A"
"¿Qué rol tiene el Product Owner en Scrum?","Controlar las herramientas de desarrollo","Representar los intereses del cliente y priorizar tareas","Establecer las líneas de código necesarias","Eliminar los impedimentos técnicos","B"
"¿Qué caracteriza la calidad intrínseca en Lean?","Incorporar pruebas tardías","Garantizar la integración desde las primeras fases","Evitar desarrollos incrementales","Depender exclusivamente de QA","B"
"¿Qué aspecto diferencia XP de Scrum y Lean?","Enfoque principal en el desarrollo de software","Centrarse en la eliminación de desperdicios","Promoción de la autoorganización del equipo","Uso exclusivo de Kanban","A"
"¿Qué principio de Lean mejora la adaptabilidad en entornos complejos?","Implementar reglas estrictas","Decidir tarde para manejar incertidumbres","Eliminar reuniones innecesarias","Descentralizar completamente las decisiones","B"
"¿Qué enfatiza la simplicidad en el manifiesto ágil?","Desarrollar solo lo necesario","Crear software escalable rápidamente","Evitar interacciones frecuentes","Revisar minuciosamente cada iteración","A"
"¿Qué herramienta en Scrum facilita la transparencia en el proceso?","Kanban","Sprint backlog","Tablero Gantt","Mapa de calor","B"
"¿Qué implica la integración continua en XP?","Pruebas regulares de funcionalidades nuevas","Planificar entregas trimestrales","Documentación exhaustiva del código","Reuniones diarias obligatorias","A"
"¿Qué papel tiene el cliente en el enfoque XP?","Evaluar entregas al final del proyecto","Participar activamente en el equipo de desarrollo","Autorizar cambios una vez al mes","Controlar los recursos técnicos","B"
"¿Qué destaca la retroalimentación en cada iteración ágil?","Corrección de errores en fases finales","Evitar conflictos de equipo","Adaptar el producto a las necesidades del cliente","Reducir los costos de desarrollo","C"
"¿Qué caracteriza la entrega incremental en Scrum?","Finalizar el proyecto antes de lo esperado","Entregar partes funcionales de manera regular","Evitar iteraciones largas","Evitar el contacto con el cliente","B"
"¿Qué implica la autoorganización del equipo en enfoques ágiles?","Independencia completa sin supervisión","Distribuir roles y responsabilidades internamente","Eludir la toma de decisiones en equipo","Dependencia total del Scrum Master","B"
"¿Qué ventaja ofrece Kanban en Lean?","Seguir estándares internacionales","Visualizar claramente el flujo de trabajo","Eliminar completamente la incertidumbre","Reducir el tamaño del equipo","B"
"¿Qué práctica promueve la excelencia técnica en Lean?","Automatizar todo el desarrollo","Controlar estrictamente los cambios","Garantizar pruebas continuas desde el principio","Evitar cambios en la planificación inicial","C"
"¿Qué enfatiza el manifiesto ágil sobre los planes preestablecidos?","Evitar cambios en los objetivos","Seguirlos rigurosamente para minimizar riesgos","Adaptarse a las necesidades cambiantes","Reducir la interacción del equipo","C"
"¿Qué fomenta el método ágil en equipos multidisciplinares?","Mantener una jerarquía clara","Aumentar las responsabilidades de los Scrum Masters","Maximizar la colaboración y aprendizaje mutuo","Evitar la rotación de roles","C"
"¿Qué principio es esencial en Lean para mejorar los resultados?","Pensar en el conjunto y actuar en pequeños pasos","Eludir responsabilidades en entregas tardías","Centralizar la toma de decisiones en un líder","Implementar cambios radicales sin consenso","A"
"¿Qué mejora la transparencia en la gestión ágil?","Utilizar herramientas compartidas como tableros Kanban","Reducir la cantidad de reuniones","Limitar la interacción con el cliente","Delegar toda la gestión al Scrum Master","A"
"¿Qué resalta la filosofía Lean sobre la burocracia en equipos ágiles?","Evitar completamente la planificación","Limitar las herramientas a un mínimo necesario","Reducir trámites innecesarios para agilizar decisiones","Fomentar la dependencia total del equipo","C"
"¿Qué principio ágil asegura que los equipos reflexionen sobre su efectividad?","Revisión periódica de backlog","Autoevaluación regular y ajuste de prácticas","Retroalimentación final del cliente","Revisión trimestral de documentación","B"
"¿Qué es una iteración en Scrum?","Un ciclo breve para planificar estrategias","Un marco semanal de reuniones formales","Una etapa para validar funcionalidades y adaptarse","Un conjunto de tareas rígidamente definidas","C"
"¿Qué enfoque de XP fomenta el trabajo en equipo?","División clara de roles y tareas","Programación en pares para aumentar la colaboración","Delegación absoluta en un líder técnico","Separación de tareas por áreas de especialización","B"
"¿Qué permite el enfoque ágil para manejar requisitos inestables?","Planificar todo desde el inicio","Implementar cambios solo al final del desarrollo","Aprovechar el cambio para generar ventaja competitiva","Evitar iteraciones largas","C"
"¿Qué caracteriza el testing en XP?","Es realizado solo por el cliente","Se ejecuta al final de cada iteración","Es continuo y automatizado para asegurar calidad","Se realiza únicamente en productos finales","C"
"¿Qué rol en Scrum se encarga de priorizar las características del producto?","Scrum Master","Product Owner","Equipo de desarrollo","Stakeholders","B"
"¿Qué práctica realiza el Scrum Master para proteger al equipo de interferencias externas?","Controlar los sprints","Facilitar reuniones","Eliminar impedimentos","Planificar el backlog","C"
"¿Qué característica define a un buen miembro del equipo Scrum?","Jerarquía clara","Autoorganización","Control de tareas ajenas","Dependencia del Product Owner","B"
"¿Cuál es el propósito de la reunión diaria de Scrum?","Resolver problemas técnicos","Monitorear el progreso del sprint","Planificar la siguiente iteración","Revisar el cumplimiento de los stakeholders","B"
"¿Qué tipo de artefacto contiene la lista priorizada de requisitos del producto?","Sprint Backlog","Product Backlog","Burndown Chart","Diagrama de Gantt","B"
"¿Qué representa el gráfico Burndown?","Progreso restante del sprint","Lista de tareas completas","Planificación de sprints futuros","Revisión de entregas","A"
"¿Qué nivel de planificación ágil establece los hitos del producto?","Visión del producto","Hoja de ruta","Planificación de versiones","Planificación diaria","B"
"¿Qué se desarrolla durante la planificación de versiones?","Criterios de aceptación","Plan de pruebas","Hitos y fechas","Historias de usuario","C"
"¿Cuál es el objetivo principal de una historia de usuario?","Documentar requisitos técnicos","Definir funcionalidades incrementales y valiosas","Detallar cada tarea del sprint","Establecer criterios de aceptación generales","B"
"¿Qué enfoque de estimación se usa comúnmente en Scrum?","Diagrama de Gantt","Técnicas de benchmarking","Escala de Fibonacci","Indicadores de desempeño","C"
"¿Qué principio promueve la descomposición de requisitos?","Estandarización técnica","El enfoque INVEST","La priorización de tareas","La gestión de riesgos","B"
"¿Qué es un criterio de aceptación?","Una condición para la aceptación de una historia de usuario","Un plan detallado para las pruebas","Un documento de validación del sprint","Un formato de evaluación del backlog","A"
"¿Qué técnica de estimación se asocia con "Planning Poker"?","Estimación precisa","Estimación relativa","Estimación absoluta","Indicadores de esfuerzo","B"
"¿Qué caracteriza a los equipos multidisciplinares en Scrum?","Tareas fijas por rol","Flexibilidad en las funciones y colaboración","Jerarquía de liderazgo estricta","Rotación constante de roles","B"
"¿Qué describe la declaración de visión del producto?","El alcance técnico del proyecto","El objetivo del negocio y su impacto","Los entregables iniciales","La estructura organizativa del equipo","B"
"¿Qué práctica se utiliza para revisar y mejorar procesos después de cada sprint?","Sprint Planning","Daily Scrum","Sprint Review","Sprint Retrospective","D"
"¿Qué aspecto es clave en el enfoque INVEST?","Estabilidad del alcance","Valor para el usuario y criterios verificables","Jerarquía de dependencias","Optimización de recursos","B"
"¿Qué facilita el uso del tablero Kanban en el flujo de trabajo ágil?","Delegar tareas a roles específicos","Visualizar el progreso y cuellos de botella","Establecer un cronograma fijo","Eliminar reuniones innecesarias","B"
"¿Qué decisión puede tomar un Product Owner durante el sprint?","Modificar el Sprint Backlog","Cambiar el objetivo del sprint","Cancelar el sprint en casos extremos","Agregar nuevas tareas al equipo","C"
"¿Qué define un sprint según Scrum?","Un ciclo de trabajo corto con metas específicas","Un plan detallado para múltiples iteraciones","Una fase de revisión técnica del producto","Un cronograma para validaciones finales","A"
"¿Qué tipo de estimación es preferida en Scrum para su simplicidad?","Estimación absoluta","Estimación relativa","Análisis de valor presente","Pruebas de concepto","B"
"¿Qué permite la reunión de planificación del sprint?","Establecer las prioridades del Product Backlog","Asignar roles dentro del equipo","Definir qué tareas entrarán en el Sprint Backlog","Validar historias de usuario completadas","C"
"¿Qué principio guía la asignación de tareas dentro del equipo Scrum?","Autoorganización y colaboración","Control del Scrum Master","Dependencia del Product Owner","Jerarquías definidas","A"
"¿Qué herramienta se usa para monitorear el progreso restante en un sprint?","Sprint backlog","Kanban","Burndown Chart","Tablero de historias","C"
"¿Cuál es la prioridad del equipo durante un sprint?","Cumplir con la documentación técnica","Maximizar las entregas incrementales","Colaborar exclusivamente con el Scrum Master","Realizar pruebas finales de producto","B"
"¿Qué método de planificación divide el trabajo en historias de usuario pequeñas y manejables?","Planificación de hitos","Product Roadmap","Sprint Planning","Descomposición INVEST","D"
"¿Qué promueve la reunión retrospectiva del sprint?","Evaluar el cumplimiento de entregables","Identificar áreas de mejora en el equipo","Revisar el progreso técnico","Actualizar los requisitos del backlog","B"
"¿Qué asegura la definición de criterios de aceptación claros en una historia de usuario?","Mejor comunicación entre el equipo y el cliente","Cumplimiento de las entregas iniciales","Reducción del esfuerzo de pruebas","Eliminación de cambios a futuro","A"
"¿Qué representa la reunión de Sprint Review?","Validación del progreso por el cliente","Evaluación interna del equipo","Planificación del próximo sprint","Entrega final del proyecto","A"
"¿Qué beneficio ofrece el gráfico Burndown?","Monitorear las tareas completadas","Predecir el tiempo restante para finalizar el sprint","Visualizar los costos del proyecto","Identificar dependencias técnicas","B"
"¿Qué distingue al Product Backlog del Sprint Backlog?","Incluye solo tareas técnicas","Se utiliza para planificación diaria","Es dinámico y evoluciona durante el proyecto","Es exclusivo para la validación del cliente","C"
"¿Qué caracteriza a un equipo Scrum autoorganizado?","Depende del Scrum Master para asignar tareas","Funciona con roles estrictos","Define y distribuye tareas de manera autónoma","Requiere validación externa para cada decisión","C"
"¿Cuál es el propósito principal del Daily Scrum?","Solucionar problemas técnicos en profundidad","Revisar el progreso y ajustar el plan del día","Asignar nuevas tareas al equipo","Definir los objetivos a largo plazo","B"
"¿Qué técnica permite una estimación rápida en Scrum?","Diagramas de flujo","Método de Monte Carlo","T-Shirt Sizing","Valor ganado","C"
"¿Qué debe incluir una buena historia de usuario según INVEST?","Un diseño detallado","Dependencias técnicas explícitas","Un valor claro para el usuario","Una descripción extensa","C"
"¿Qué herramienta es clave para priorizar elementos en el backlog?","Gráficos de Gantt","Matriz de impacto","Tablero Kanban","Planning Poker","D"
"¿Qué concepto fomenta la mejora continua en Scrum?","Sprint Retrospective","Daily Scrum","Sprint Planning","Planning Poker","A"
"¿Qué aspecto del Scrum Master es fundamental para el éxito del equipo?","Gestión técnica avanzada","Habilidades de facilitación y eliminación de bloqueos","Control estricto de las tareas","Documentación extensa","B"
"¿Qué significa ROI en el contexto de Scrum?","Return on Investment","Rate of Iteration","Risk of Issues","Requirement Optimization Index","A"
"¿Qué tipo de enfoque de planificación tiene Scrum?","Predictivo","Iterativo e incremental","Ad hoc","Secuencial","B"
"¿Qué acción puede tomar el equipo durante un sprint?","Cambiar la definición de "Done"","Modificar el objetivo del sprint","Incorporar tareas adicionales al Sprint Backlog","Actualizar tareas según sea necesario","D"
"¿Qué herramienta mide el progreso del sprint?","Sprint Backlog","Burndown Chart","Roadmap","Tablero de tareas","B"
"¿Qué elemento es esencial para la transparencia en Scrum?","Criterios de aceptación claros","Roles bien definidos","Artefactos accesibles para todos","Planificación detallada","C"
"¿Qué fomenta el uso de "Planning Poker" en la estimación?","Evitar discusiones extensas","Estimar de forma colaborativa y rápida","Asegurar estimaciones precisas","Eliminar tareas de baja prioridad","B"
"¿Qué rol en Scrum tiene la responsabilidad de maximizar el valor del producto?","Scrum Master","Product Owner","Equipo de desarrollo","Stakeholders","B"
"¿Qué significa el término "Sprint Goal"?","La lista completa de tareas del sprint","El objetivo prioritario que guía el sprint","El backlog técnico del equipo","Los criterios de aceptación del sprint","B"
"¿Qué tipo de dependencias se consideran en la planificación del sprint?","Dependencias externas únicamente","Dependencias internas y externas","Solo las de alto riesgo","Ninguna, se eliminan todas","B"
"¿Qué representa el concepto de Velocidad en Scrum?","La cantidad de trabajo realizado en un sprint","La cantidad de bugs corregidos","El tiempo dedicado a reuniones","La calidad del código entregado","A"
"¿Qué significa "Hecho-Hecho" en Scrum?","Trabajo que cumple con los criterios de aceptación","Trabajo revisado pero no integrado","Trabajo entregado sin pruebas","Trabajo parcialmente completado","A"
"¿Qué se utiliza para gestionar el WIP (Work in Progress)?","Tableros Kanban","Reuniones de retrospectiva","Planning Poker","Product Backlog","A"
